ZipCode,lat,lng,city,state_id,state_name,zcta,population,density,county_fips
00601,18.18004,-66.75218,Adjuntas,PR,Puerto Rico,True,17242,111.4,72001
00602,18.36073,-67.17517,Aguada,PR,Puerto Rico,True,38442,523.5,72003
00603,18.45439,-67.12202,Aguadilla,PR,Puerto Rico,True,48814,667.9,72005
00606,18.16724,-66.93828,Maricao,PR,Puerto Rico,True,6437,60.4,72093
00610,18.29032,-67.12243,Anasco,PR,Puerto Rico,True,27073,312.0,72011
00612,18.40699,-66.70803,Arecibo,PR,Puerto Rico,True,60303,382.8,72013
00616,18.41753,-66.66814,Bajadero,PR,Puerto Rico,True,10765,368.9,72013
00617,18.44124,-66.55917,Barceloneta,PR,Puerto Rico,True,23974,625.0,72017
00622,17.99174,-67.15248,Boqueron,PR,Puerto Rico,True,6578,104.6,72023
00623,18.08355,-67.15417,Cabo Rojo,PR,Puerto Rico,True,42427,437.8,72023
00624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,True,22707,234.7,72111
00627,18.419,-66.86033,Camuy,PR,Puerto Rico,True,32222,292.8,72027
00631,18.18555,-66.83327,Castaner,PR,Puerto Rico,True,1568,177.8,72081
00637,18.07982,-66.94274,Sabana Grande,PR,Puerto Rico,True,22975,283.4,72121
00638,18.28904,-66.5151,Ciales,PR,Puerto Rico,True,16701,110.7,72039
00641,18.26408,-66.71376,Utuado,PR,Puerto Rico,True,27571,128.8,72141
00646,18.43401,-66.2833,Dorado,PR,Puerto Rico,True,37494,711.6,72051
00647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,True,5643,156.7,72055
00650,18.34321,-66.58601,Florida,PR,Puerto Rico,True,14760,189.7,72054
00652,18.45542,-66.60635,Garrochales,PR,Puerto Rico,True,3697,263.2,72013
00653,17.98574,-66.89033,Guanica,PR,Puerto Rico,True,11140,337.1,72055
00656,18.0528,-66.79182,Guayanilla,PR,Puerto Rico,True,18979,255.9,72059
00659,18.41069,-66.79648,Hatillo,PR,Puerto Rico,True,40390,387.7,72065
00660,18.13418,-67.11402,Hormigueros,PR,Puerto Rico,True,16180,587.0,72067
00662,18.46208,-67.01445,Isabela,PR,Puerto Rico,True,40290,376.6,72071
00664,18.21152,-66.5889,Jayuya,PR,Puerto Rico,True,14991,142.4,72073
00667,18.01227,-67.04089,Lajas,PR,Puerto Rico,True,23590,166.2,72079
00669,18.27102,-66.86982,Lares,PR,Puerto Rico,True,25653,186.6,72081
00670,18.23777,-66.98877,Las Marias,PR,Puerto Rico,True,8498,83.1,72083
00674,18.42123,-66.49004,Manati,PR,Puerto Rico,True,39859,381.8,72091
00676,18.3779,-67.08083,Moca,PR,Puerto Rico,True,36995,308.6,72099
00677,18.3357,-67.23168,Rincon,PR,Puerto Rico,True,14311,411.2,72117
00678,18.43269,-66.92812,Quebradillas,PR,Puerto Rico,True,26091,407.5,72115
00680,18.16327,-67.36195,Mayaguez,PR,Puerto Rico,True,46395,349.6,72097
00682,18.22117,-67.1538,Mayaguez,PR,Puerto Rico,True,32359,874.3,72097
00683,18.10998,-67.0373,San German,PR,Puerto Rico,True,30424,249.9,72125
00685,18.33625,-66.97225,San Sebastian,PR,Puerto Rico,True,38039,213.3,72131
00687,18.31708,-66.4203,Morovis,PR,Puerto Rico,True,31320,323.9,72101
00688,18.38056,-66.62425,Sabana Hoyos,PR,Puerto Rico,True,12202,164.3,72013
00690,18.49567,-67.09825,San Antonio,PR,Puerto Rico,True,5352,857.7,72005
00692,18.40845,-66.33691,Vega Alta,PR,Puerto Rico,True,35840,541.2,72143
00693,18.42132,-66.40012,Vega Baja,PR,Puerto Rico,True,54428,599.3,72145
00694,18.48329,-66.39261,Vega Baja,PR,Puerto Rico,True,69,158.4,72145
00698,18.06728,-66.85273,Yauco,PR,Puerto Rico,True,36312,231.7,72153
00703,18.24841,-66.13119,Aguas Buenas,PR,Puerto Rico,True,26320,372.2,72007
00704,17.96719,-66.22017,Aguirre,PR,Puerto Rico,True,8274,678.9,72123
